Sentence #,Word,POS,Tag
Sentence: 1,prenikajoča,Appfsn,B-DEFINIENDUM
,voda,Ncfsn,I-DEFINIENDUM
,",",Z,O
,pronicajoča,Appfsn,O
,voda,Ncfsn,O
,:,Z,O
,Padavinska,Agpfsn,B-GENUS
,voda,Ncfsn,I-GENUS
,",",Z,O
,ki,Cs,O
,v,Sl,O
,aeracijski,Agpfsl,O
,coni,Ncfsl,O
,počasi,Rgp,O
,premika,Vmpr3s,O
,skozi,Sa,O
,vodoprepustne,Agpfpa,O
,skalne,Agpfpa,O
,gmote,Ncfpa,O
,.,Z,O
,Voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,kaplja,Vmpr3s,O
,z,Sg,O
,jamskega,Agpmsg,O
,stropa,Ncmsg,O
,;,Z,O
,od,Sg,O
,tod,Rgp,O
,jamarski,Agpmsny,O
,izraz,Ncmsn,O
,kapnica,Ncfsn,O
,.,Z,O
,Združeno,Appnsn,O
,v,Sa,O
,potoček,Ncmsan,O
,jo,Pp3fsa--y,O
,imenujemo,Vmbr1p,O
,tudi,Q,O
,vodni,Agpmsny,O
,curek,Ncmsn,O
,",",Z,O
,v,Sl,O
,nasprotju,Ncnsl,O
,od,Sg,O
,globinskih,Agpfpg,O
,žil,Ncfpg,O
,.,Z,O
Sentence: 2,prenikajoča,Appfsn,B-DEFINIENDUM
,voda,Ncfsn,I-DEFINIENDUM
,",",Z,O
,pronicajoča,Appfsn,O
,voda,Ncfsn,O
,:,Z,O
,Padavinska,Agpfsn,O
,voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,v,Sl,O
,aeracijski,Agpfsl,O
,coni,Ncfsl,O
,počasi,Rgp,B-HAS_ATTRIBUTE
,premika,Vmpr3s,I-HAS_ATTRIBUTE
,skozi,Sa,I-HAS_ATTRIBUTE
,vodoprepustne,Agpfpa,I-HAS_ATTRIBUTE
,skalne,Agpfpa,I-HAS_ATTRIBUTE
,gmote,Ncfpa,I-HAS_ATTRIBUTE
,.,Z,O
,Voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,kaplja,Vmpr3s,O
,z,Sg,O
,jamskega,Agpmsg,O
,stropa,Ncmsg,O
,;,Z,O
,od,Sg,O
,tod,Rgp,O
,jamarski,Agpmsny,O
,izraz,Ncmsn,O
,kapnica,Ncfsn,O
,.,Z,O
,Združeno,Appnsn,O
,v,Sa,O
,potoček,Ncmsan,O
,jo,Pp3fsa--y,O
,imenujemo,Vmbr1p,O
,tudi,Q,O
,vodni,Agpmsny,O
,curek,Ncmsn,O
,",",Z,O
,v,Sl,O
,nasprotju,Ncnsl,O
,od,Sg,O
,globinskih,Agpfpg,O
,žil,Ncfpg,O
,.,Z,O
