Sentence #,Word,POS,Tag
Sentence: 1,prenikajoča,Appfsn,B-OBJ
,voda,Ncfsn,I-OBJ
,",",Z,O
,pronicajoča,Appfsn,O
,voda,Ncfsn,O
,:,Z,O
,Padavinska,Agpfsn,B-SUBJ
,voda,Ncfsn,I-SUBJ
,",",Z,O
,ki,Cs,O
,v,Sl,O
,aeracijski,Agpfsl,O
,coni,Ncfsl,O
,počasi,Rgp,O
,premika,Vmpr3s,O
,skozi,Sa,O
,vodoprepustne,Agpfpa,O
,skalne,Agpfpa,O
,gmote,Ncfpa,O
,.,Z,O
,Voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,kaplja,Vmpr3s,O
,z,Sg,O
,jamskega,Agpmsg,O
,stropa,Ncmsg,O
,;,Z,O
,od,Sg,O
,tod,Rgp,O
,jamarski,Agpmsny,O
,izraz,Ncmsn,O
,kapnica,Ncfsn,O
,.,Z,O
,Združeno,Appnsn,O
,v,Sa,O
,potoček,Ncmsan,O
,jo,Pp3fsa--y,O
,imenujemo,Vmbr1p,O
,tudi,Q,O
,vodni,Agpmsny,O
,curek,Ncmsn,O
,",",Z,O
,v,Sl,O
,nasprotju,Ncnsl,O
,od,Sg,O
,globinskih,Agpfpg,O
,žil,Ncfpg,O
,.,Z,O
Sentence: 4,prenikajoča,Appfsn,B-OBJ
,voda,Ncfsn,I-OBJ
,",",Z,O
,pronicajoča,Appfsn,O
,voda,Ncfsn,O
,:,Z,O
,Padavinska,Agpfsn,O
,voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,v,Sl,B-SUBJ
,aeracijski,Agpfsl,I-SUBJ
,coni,Ncfsl,I-SUBJ
,počasi,Rgp,O
,premika,Vmpr3s,O
,skozi,Sa,O
,vodoprepustne,Agpfpa,O
,skalne,Agpfpa,O
,gmote,Ncfpa,O
,.,Z,O
,Voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,kaplja,Vmpr3s,O
,z,Sg,O
,jamskega,Agpmsg,O
,stropa,Ncmsg,O
,;,Z,O
,od,Sg,O
,tod,Rgp,O
,jamarski,Agpmsny,O
,izraz,Ncmsn,O
,kapnica,Ncfsn,O
,.,Z,O
,Združeno,Appnsn,O
,v,Sa,O
,potoček,Ncmsan,O
,jo,Pp3fsa--y,O
,imenujemo,Vmbr1p,O
,tudi,Q,O
,vodni,Agpmsny,O
,curek,Ncmsn,O
,",",Z,O
,v,Sl,O
,nasprotju,Ncnsl,O
,od,Sg,O
,globinskih,Agpfpg,O
,žil,Ncfpg,O
,.,Z,O
Sentence: 5,prenikajoča,Appfsn,O
,voda,Ncfsn,O
,",",Z,O
,pronicajoča,Appfsn,O
,voda,Ncfsn,O
,:,Z,O
,Padavinska,Agpfsn,B-SUBJ
,voda,Ncfsn,I-SUBJ
,",",Z,O
,ki,Cs,O
,v,Sl,O
,aeracijski,Agpfsl,O
,coni,Ncfsl,O
,počasi,Rgp,O
,premika,Vmpr3s,O
,skozi,Sa,O
,vodoprepustne,Agpfpa,O
,skalne,Agpfpa,O
,gmote,Ncfpa,O
,.,Z,O
,Voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,kaplja,Vmpr3s,O
,z,Sg,O
,jamskega,Agpmsg,O
,stropa,Ncmsg,O
,;,Z,O
,od,Sg,O
,tod,Rgp,O
,jamarski,Agpmsny,O
,izraz,Ncmsn,O
,kapnica,Ncfsn,O
,.,Z,O
,Združeno,Appnsn,O
,v,Sa,O
,potoček,Ncmsan,O
,jo,Pp3fsa--y,O
,imenujemo,Vmbr1p,O
,tudi,Q,O
,vodni,Agpmsny,B-OBJ
,curek,Ncmsn,I-OBJ
,",",Z,O
,v,Sl,O
,nasprotju,Ncnsl,O
,od,Sg,O
,globinskih,Agpfpg,O
,žil,Ncfpg,O
,.,Z,O
Sentence: 8,prenikajoča,Appfsn,O
,voda,Ncfsn,O
,",",Z,O
,pronicajoča,Appfsn,O
,voda,Ncfsn,O
,:,Z,O
,Padavinska,Agpfsn,O
,voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,v,Sl,B-SUBJ
,aeracijski,Agpfsl,I-SUBJ
,coni,Ncfsl,I-SUBJ
,počasi,Rgp,O
,premika,Vmpr3s,O
,skozi,Sa,O
,vodoprepustne,Agpfpa,O
,skalne,Agpfpa,O
,gmote,Ncfpa,O
,.,Z,O
,Voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,kaplja,Vmpr3s,O
,z,Sg,O
,jamskega,Agpmsg,O
,stropa,Ncmsg,O
,;,Z,O
,od,Sg,O
,tod,Rgp,O
,jamarski,Agpmsny,O
,izraz,Ncmsn,O
,kapnica,Ncfsn,O
,.,Z,O
,Združeno,Appnsn,O
,v,Sa,O
,potoček,Ncmsan,O
,jo,Pp3fsa--y,O
,imenujemo,Vmbr1p,O
,tudi,Q,O
,vodni,Agpmsny,B-OBJ
,curek,Ncmsn,I-OBJ
,",",Z,O
,v,Sl,O
,nasprotju,Ncnsl,O
,od,Sg,O
,globinskih,Agpfpg,O
,žil,Ncfpg,O
,.,Z,O
Sentence: 9,viseča,Appfsn,B-OBJ
,voda,Ncfsn,I-OBJ
,:,Z,O
,Je,Va-r3s-n,O
,voda,Ncfsn,O
,v,Sl,O
,aeracijski,Agpfsl,O
,(,Z,O
,vadozni,Agpfsl,O
,),Z,O
,coni,Ncfsl,O
,",",Z,O
,ki,Cs,O
,jo,Pp3fsa--y,O
,je,Va-r3s-n,O
,od,Sg,O
,navzdolžnega,Agpnsg,O
,prenikanja,Ncnsg,O
,odklonil,Vmep-sm,O
,vododržni,Agpmsny,O
,vložek,Ncmsn,O
,.,Z,O
,Tudi,Q,O
,stoječa,Appfsn,O
,voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,je,Va-r3s-n,O
,ujeta,Appfsn,O
,v,Sl,O
,kotanjah,Ncfpl,O
,po,Sl,O
,upadu,Ncmsl,O
,vodne,Agpfsg,O
,gladine,Ncfsg,O
,.,Z,O
,prenikanja,Ncnsg,O
Sentence: 10,viseča,Appfsn,B-OBJ
,voda,Ncfsn,I-OBJ
,:,Z,O
,Je,Va-r3s-n,O
,voda,Ncfsn,O
,v,Sl,O
,aeracijski,Agpfsl,O
,(,Z,O
,vadozni,Agpfsl,O
,),Z,O
,coni,Ncfsl,O
,",",Z,O
,ki,Cs,O
,jo,Pp3fsa--y,B-SUBJ
,je,Va-r3s-n,I-SUBJ
,od,Sg,I-SUBJ
,navzdolžnega,Agpnsg,I-SUBJ
,prenikanja,Ncnsg,I-SUBJ
,odklonil,Vmep-sm,I-SUBJ
,vododržni,Agpmsny,I-SUBJ
,vložek,Ncmsn,I-SUBJ
,.,Z,O
,Tudi,Q,O
,stoječa,Appfsn,O
,voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,je,Va-r3s-n,O
,ujeta,Appfsn,O
,v,Sl,O
,kotanjah,Ncfpl,O
,po,Sl,O
,upadu,Ncmsl,O
,vodne,Agpfsg,O
,gladine,Ncfsg,O
,.,Z,O
,prenikanja,Ncnsg,O
Sentence: 11,viseča,Appfsn,B-OBJ
,voda,Ncfsn,I-OBJ
,:,Z,O
,Je,Va-r3s-n,O
,voda,Ncfsn,O
,v,Sl,O
,aeracijski,Agpfsl,O
,(,Z,O
,vadozni,Agpfsl,O
,),Z,O
,coni,Ncfsl,O
,",",Z,O
,ki,Cs,O
,jo,Pp3fsa--y,O
,je,Va-r3s-n,O
,od,Sg,O
,navzdolžnega,Agpnsg,O
,prenikanja,Ncnsg,O
,odklonil,Vmep-sm,O
,vododržni,Agpmsny,O
,vložek,Ncmsn,O
,.,Z,O
,Tudi,Q,O
,stoječa,Appfsn,O
,voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,je,Va-r3s-n,B-SUBJ
,ujeta,Appfsn,I-SUBJ
,v,Sl,I-SUBJ
,kotanjah,Ncfpl,I-SUBJ
,po,Sl,O
,upadu,Ncmsl,O
,vodne,Agpfsg,O
,gladine,Ncfsg,O
,.,Z,O
,prenikanja,Ncnsg,O
Sentence: 14,piezometrični,Agpmsny,B-OBJ
,nivo,Ncmsn,I-OBJ
,",",Z,O
,tudi,Q,O
,piezometer,Ncmsn,O
,:,Z,O
,Je,Va-r3s-n,O
,vsakokratna,Agpfsn,O
,predpostavljena,Appfsn,O
,ploskev,Ncfsn,O
,",",Z,O
,do,Sg,O
,katere,Pq-fsg,O
,sega,Vmpr3s,O
,vodna,Agpfsn,O
,gladina,Ncfsn,O
,v,Sl,B-SUBJ
,kraškem,Agpnsl,I-SUBJ
,podzemlju,Ncnsl,I-SUBJ
,v,Sl,I-SUBJ
,sistemu,Ncmsl,I-SUBJ
