DEFINIENDUM,DEFINITOR,GENUS,SPECIES,SENTENCE
Karst,is a,landscape,,"Karst is a landscape created by the dissolution of carbonate rocks, although similar features can also be found in volcanic and permafrost areas."
Karst,is a,product of processes,,"Karst is a product of processes that operate on continental land masses, especially when the land masses are uplifted above sea level. on continental land masses"
Karst,is,terrain,,Karst is terrain with distinctive hydrology and landforms arising from the combination of high rock solubility and well-developed solution channel (secondary) porosity underground. rock
Karst,is the term used to describe a,landscape,,"Karst is the term used to describe a special style of landscape containing caves and extensive underground water systems that is developed on especially soluble rocks such as limestone, marble, and gypsum."
Karst conduit networks,are defined as,total length of the existing conduits,,"“ Karst conduit networks ” are defined as the total length of the existing conduits within a karst massif, i.e. the length of conduits wider than about 1 cm in diameter (as defined by Ford & Williams 1989)."
Karst depression,is a common group term,,poljes|dolines|uvalas,"Karst depression is a common group term for dolines, uvalas and poljes."
Karst topography,is a,landscape,,Karst topography is a landscape shaped by the dissolution of soluble bedrock. bedrock
karst topography,is used to describe,areas,,"In geology, the term karst topography is used to describe areas similar to that found in Kras."
karst windows,are called,Short steep-sided valleys,,Short steep-sided valleys caused by collapse of an underground cavern and exposing the river to the surface are called karst windows.
karstosphere,defined it as a,spatially discontinuous layer,,"The term “ karstosphere ” was introduced by Maruashvili (1970), who defined it as a spatially discontinuous layer comprised of the global areas of karstifiable rocks."
konta,is a,closed karst depression,,"A konta is a closed karst depression, like a doline, that has been remodelled during Pleistocene glaciation."
Limestone,,,,"Limestone is composed of calcium carbonate (CaCO3), deposited as the minerals aragonite and calcite."
losing streamflow,is a,stream,,A losing streamflow is a surface stream that contributes water to the karst groundwater system in localized areas.
losing streamflow,can be defined as,stream,,A losing streamflow can be defined as an open stream or river that loses water as it flows downstream. water
master joints,are called,Joints,,"Joints that cross many beds are called master joints; they often extend to a depth of several tens of metres and control the orientation of master conduits (Dreybrodt 1988, Ford & Williams 1989)."
Intrastratal karstification,refers to the,preferential dissolution,,"Intrastratal karstification refers to the preferential dissolution of a particular bed or other unit within a sequence of soluble rocks, e.g. a gypsum bed in a dolomite formation."
Exokarst,refers to,karst,,Exokarst refers to the suit of karst features developed at the surface. at the surface
Cryptokarst,refers to,karst,,"Cryptokarst refers to karst forms developed beneath a blanket of permeable sediments such as soil, till, periglacial deposits and residual clays."
pseudokarst,are known as,Karst-like landforms,,Karst-like landforms produced by processes other than dissolution or corrosion-induced subsidence and collapse are known as pseudokarst.
Thermokarst,is a related term,topographic depressions,,Thermokarst is a related term applied to topographic depressions resulting from thawing of ground ice. ground ice
Holokarst,is,karst,,"Holokarst is pure karst uninfluenced by other rocks, and is developed on thick limestones extending well below baselevel."
swallow holes,,,,"Concentrated inflows of water from allogenic sources sink underground at swallow holes (also known as swallets, stream-sinks or ponors)."
swallets,,,,"Concentrated inflows of water from allogenic sources sink underground at swallow holes (also known as swallets, stream-sinks or ponors)."
stream-sinks,,,,"Concentrated inflows of water from allogenic sources sink underground at swallow holes (also known as swallets, stream-sinks or ponors)."
ponors,,,,"Concentrated inflows of water from allogenic sources sink underground at swallow holes (also known as swallets, stream-sinks or ponors)."
travertine,is,calcite,,"In contrast, travertine is crystalline, dense calcite that is often well layered, quite lustrous and lacks framing plant content."
Tufa,refers to,material,,Tufa refers to softer porous material found near cave entrances where rapid deposition is encouraged by evaporation.
cave pearls,are,spheres,,Ideal cave pearls are spheres that range ~ 0.2 to 10 – 15 mm in diameter.
Opal,is a,silica,,Opal (cristobalite) is a very fine-grained silica that occurs as thin interlayers in some calcite and gypsum speleothems.
cristobalite,is a,silica,,Opal (cristobalite) is a very fine-grained silica that occurs as thin interlayers in some calcite and gypsum speleothems.
