REL_LABEL,REL_TOK,REL_FRAME
HAS_FUNCTION,ločuje matično kamnino od speleofaktov,ločuje
HAS_LOCATION,v speleogenetskem prostoru,v
HAS_FORM,Ploskev,
DEFINED_AS,Poleg sedimentacije in rušenja vključuje tudi diagenezo,
CONTAINS,Polnilo v fosiliziranem kanalu se obnaša kot kompaktna kamnina,
DEFINED_AS,Preoblikovanje kanala,
HAS_LOCATION,v prežeti ali neprežeti coni,v
HAS_FORM,Značilna sta elipsast ali lečast prečni presek,Značilna sta
HAS_CAUSE,"Njegov prostorski potek se ne ravna po vodoravni smeri , temveč po smeri inicialnih struktur",
HAS_LOCATION,nastal v prežeti coni,v
HAS_CAUSE,ob preskoku kanala z enega začetnega horizonta v drugega,ob
HAS_FORM,so v prečnem ( približno vodoravnem ) prerezu elipsasta in podobna kaminom,podobna
HAS_CAUSE,se ravna približno po padnici inicialne strukture,
HAS_LOCATION,ki nastane v prežeti coni,v
HAS_CAUSE,ko ponikalnica z nekraškega površja vnaša prod,
HAS_LOCATION,je značilen za kras na nizvodnem stiku z nekrasom,na
HAS_RESULT,se plavje odlaga v globljih delih svežnja,
HAS_LOCATION,in teče po lastnem nasipu vzdolž gladine podtalnice,||
HAS_RESULT,Dejansko to pomeni vdor tluvialnih razmer v kraško podzemlje,Dejansko to pomeni
HAS_POSITION,na Slovenskem,na
HAS_CAUSE,Ker pretok in transportna moč vode nista popolnoma enakomerna,
HAS_RESULT,voda končno izoblikuje tunelski rov vzdolž gladine podtalnice,končno|vzdolž
HAS_CAUSE,"To prisili vodo , da ubira pota po kanalih , ki so vse bliže piezometrični gladini",
HAS_RESULT,torej nastanejo tunelski rovi,torej nastanejo
HAS_POSITION,v Planinski jami,
HAS_RESULT,niže ležeči kanali niso vedno zasuti,
HAS_CAUSE,"ko voda prenaša prod , ki nastaja v samem kraškem podzemlju",
HAS_ATTRIBUTE,lahko tudi prosto pada,
HAS_FUNCTION,zapolni kanale,zapolni
HAS_ATTRIBUTE,ne le da ima prosto gladino,ima
HAS_LOCATION,ki se skozi neprežeto cono spušča malone navpično proti prežeti coni,ki se skozi
HAS_RESULT,oblikuje posebne tipe kraških votlin,
HAS_LOCATION,med slano podtalnico in sladkovodno lečo na morskih grebenih in atolih,med|na
HAS_RESULT,Zaradi stika obeh voda se poveča agresivnost vode,se poveča
HAS_ATTRIBUTE,kjer vladajo značilni režimi obnašanja podzemske vode,kjer vladajo
HAS_FORM,Zakraseli,
HAS_LOCATION,nad gladino podtalnice,nad
HAS_LOCATION,pod njo,pod
CONTAINS,obsega zakraseli del speleogenetskega prostora,obsega
HAS_CAUSE,nastal zaradi delovanja hidrotermalnih voda,nastal zaradi
HAS_SIZE,"globoka in široka več centimetrov ali decimetrov , izjemoma nekaj metrov",globoka in široka
HAS_FORM,"ravnega dna in strmih , celo previsnih sten",
HAS_LOCATION,v območju plimovanja a1i valovanja,v območju
CONTAINS,jo obdobno zapolnjuje morska voda,zapolnjuje|jo
CONTAINS,ki jo prekriva zemlja ( prst,ki jo prekriva
HAS_FORM,Škavnici podobna,podobna
HAS_CAUSE,ki ji je obod prerezal odvodni žleb,
HAS_FORM,s predrtim dnom,
CONTAINS,brez stoječe vode,brez
CONTAINS,"ločijo vmesni noži , grebeni , hrbti , poličke",
HAS_SIZE,Nekaj centimetrov do vec decimetrov in metrov razsežna,razsežna
HAS_LOCATION,v skalnem površju,
HAS_FORM,smer določuje biološka linija najmanjšega odpora,
HAS_FUNCTION,brez vzdolžnega pretakanja,
HAS_CAUSE,izjedenina,
HAS_LOCATION,v jami,v
HAS_CAUSE,ki nastane z agresivno prenikajočo vodo,ki nastane z
HAS_CAUSE,zaradi pršavice ( abrazije valov,zaradi
COMPOSITION_MEDIUM,ki nastaja na golih skalnih tleh,ki nastaja na
HAS_LOCATION,na morski ali jezerski obali,na
HAS_FORM,V raznih smereh zluknjana in izjedena,
HAS_LOCATION,izpostavljena,
HAS_CAUSE,Nastala ob leziki,Nastala ob
HAS_FORM,v obliki navpicnih lukenj in raz,v obliki
HAS_SIZE,"Nekaj decimetrov , do nekaj metrov globoka",globoka
HAS_FORM,z vidnim dnom,
