REL_LABEL,REL_TOK,REL_FRAME
HAS_LOCATION,v aeracijski coni,v
HAS_ATTRIBUTE,počasi premika skozi vodoprepustne skalne gmote,
HAS_ATTRIBUTE,kaplja z jamskega stropa,
OCCURS_IN_TIME,po upadu vodne gladine,po
HAS_CAUSE,jo je od navzdolžnega prenikanja odklonil vododržni vložek,
HAS_LOCATION,je ujeta v kotanjah,
DEFINED_AS,Je vsakokratna predpostavljena ploskev,
HAS_LOCATION,v kraškem podzemlju v sistemu veznih posod,v|v
DEFINED_AS,"nivo , od katerega se pretežno vodoravno in prosto pretaka kraška voda proti izvirom ali stoji ( stoječa voda ) v slepih kanalih",
HAS_CAUSE,oscilirata v odvisnosti od vodostaja,v odvisnosti od
HAS_ATTRIBUTE,vlažna,
OCCURS_IN_TIME,periodično,
HAS_FUNCTION,ne sega do stropa in ima prosto gladino,
HAS_LOCATION,v kraškem podzemlju,
HAS_CAUSE,se pretaka gravitacijsko,
HAS_LOCATION,v kanalih,
CONTAINS,v kateri voda trajno zapolnjuje votline,v kateri
HAS_CAUSE,prevladuje pa tlačno pretakanje,
HAS_LOCATION,pod piezometričnim nivojem ( nivojem kraške vode,pod
HAS_LOCATION,v freatični coni,v
HAS_FUNCTION,Zapolnjuje votline,Zapolnjuje
HAS_FUNCTION,stagnira v slepih ali nepovezanih kanalih,
HAS_LOCATION,v freatični coni,v
HAS_LOCATION,v globoki freatični coni,v
HAS_FUNCTION,zapolnjuje vodoprehodne votline pod piezometričnim nivojem,
HAS_FUNCTION,Neprepustna,
HAS_FORM,v obliki vložka,v obliki
HAS_LOCATION,v kraškem ozemlju,v
HAS_FUNCTION,ki razdvaja porečji ali zajezuje podzemeljski vodni tok,zajezuje|razdvaja
HAS_CAUSE,ker je žepaste oblike,
HAS_FORM,z enim vhodom iznad votline,
HAS_FUNCTION,tako da se v njej zadržuje zimski hlad,zadržuje
OCCURS_IN_TIME,poleti,
HAS_ATTRIBUTE,nadpovprečno hladna,
HAS_SIZE,visok,
HAS_ATTRIBUTE,po katerem je hoja razmeroma lahka,
HAS_SIZE,enakomerno širok,
HAS_ATTRIBUTE,osamljen,
HAS_LOCATION,na dnu kraškega polja,na dnu
HAS_FORM,osamljeno vzpetinico,
HAS_CAUSE,korozijsko-erozijsko-denudacijski ostanek višjega reliefa,
HAS_FORM,grič na ravnini,
HAS_SIZE,Nekaj centimetrov ali decimetrov visoke,visoke
HAS_CAUSE,ki jih je izdelala kapljajoča voda,ki jih je izdelala
HAS_LOCATION,v ilovnatem jamskem dnu,
HAS_FUNCTION,ločuje matično kamnino od speleofaktov,ločuje
HAS_FORM,Ploskev,
HAS_LOCATION,v speleogenetskem prostoru,v
DEFINED_AS,Poleg sedimentacije in rušenja vključuje tudi diagenezo,
CONTAINS,Polnilo v fosiliziranem kanalu se obnaša kot kompaktna kamnina,
DEFINED_AS,Preoblikovanje kanala,
HAS_LOCATION,v prežeti ali neprežeti coni,v
HAS_CAUSE,"Njegov prostorski potek se ne ravna po vodoravni smeri , temveč po smeri inicialnih struktur",
HAS_FORM,Značilna sta elipsast ali lečast prečni presek,Značilna sta
HAS_LOCATION,nastal v prežeti coni,v
HAS_LOCATION,ki nastane v prežeti coni,v
HAS_CAUSE,ob preskoku kanala z enega začetnega horizonta v drugega,ob
HAS_CAUSE,se ravna približno po padnici inicialne strukture,
HAS_FORM,so v prečnem ( približno vodoravnem ) prerezu elipsasta in podobna kaminom,podobna
HAS_POSITION,na Slovenskem,na
HAS_LOCATION,je značilen za kras na nizvodnem stiku z nekrasom,na
HAS_RESULT,voda končno izoblikuje tunelski rov vzdolž gladine podtalnice,vzdolž|končno
HAS_LOCATION,in teče po lastnem nasipu vzdolž gladine podtalnice,
HAS_CAUSE,ko ponikalnica z nekraškega površja vnaša prod,
HAS_CAUSE,"To prisili vodo , da ubira pota po kanalih , ki so vse bliže piezometrični gladini",
HAS_RESULT,se plavje odlaga v globljih delih svežnja,
