Sentence #,Word,POS,Tag
Sentence: 1,prenikajoča,Appfsn,B-DEFINIENDUM
,voda,Ncfsn,I-DEFINIENDUM
,",",Z,O
,pronicajoča,Appfsn,O
,voda,Ncfsn,O
,:,Z,O
,Padavinska,Agpfsn,B-SUBJECT
,voda,Ncfsn,I-SUBJECT
,",",Z,O
,ki,Cs,O
,v,Sl,B-SUBJECT
,aeracijski,Agpfsl,I-SUBJECT
,coni,Ncfsl,I-SUBJECT
,počasi,Rgp,O
,premika,Vmpr3s,O
,skozi,Sa,O
,vodoprepustne,Agpfpa,O
,skalne,Agpfpa,O
,gmote,Ncfpa,O
,.,Z,O
,Voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,kaplja,Vmpr3s,O
,z,Sg,O
,jamskega,Agpmsg,O
,stropa,Ncmsg,O
,;,Z,O
,od,Sg,O
,tod,Rgp,O
,jamarski,Agpmsny,O
,izraz,Ncmsn,O
,kapnica,Ncfsn,O
,.,Z,O
,Združeno,Appnsn,O
,v,Sa,O
,potoček,Ncmsan,O
,jo,Pp3fsa--y,O
,imenujemo,Vmbr1p,O
,tudi,Q,O
,vodni,Agpmsny,O
,curek,Ncmsn,O
,",",Z,O
,v,Sl,O
,nasprotju,Ncnsl,O
,od,Sg,O
,globinskih,Agpfpg,O
,žil,Ncfpg,O
,.,Z,O
Sentence: 2,viseča,Appfsn,B-DEFINIENDUM
,voda,Ncfsn,I-DEFINIENDUM
,:,Z,O
,Je,Va-r3s-n,O
,voda,Ncfsn,O
,v,Sl,O
,aeracijski,Agpfsl,O
,(,Z,O
,vadozni,Agpfsl,O
,),Z,O
,coni,Ncfsl,O
,",",Z,O
,ki,Cs,O
,jo,Pp3fsa--y,B-SUBJECT
,je,Va-r3s-n,I-SUBJECT
,od,Sg,I-SUBJECT
,navzdolžnega,Agpnsg,I-SUBJECT
,prenikanja,Ncnsg,I-SUBJECT
,odklonil,Vmep-sm,I-SUBJECT
,vododržni,Agpmsny,I-SUBJECT
,vložek,Ncmsn,I-SUBJECT
,.,Z,O
,Tudi,Q,O
,stoječa,Appfsn,O
,voda,Ncfsn,O
,",",Z,O
,ki,Cs,O
,je,Va-r3s-n,B-SUBJECT
,ujeta,Appfsn,I-SUBJECT
,v,Sl,I-SUBJECT
,kotanjah,Ncfpl,I-SUBJECT
,po,Sl,O
,upadu,Ncmsl,O
,vodne,Agpfsg,O
,gladine,Ncfsg,O
,.,Z,O
,prenikanja,Ncnsg,O
Sentence: 3,piezometrični,Agpmsny,B-DEFINIENDUM
,nivo,Ncmsn,I-DEFINIENDUM
,",",Z,O
,tudi,Q,O
,piezometer,Ncmsn,O
,:,Z,O
,Je,Va-r3s-n,O
,vsakokratna,Agpfsn,O
,predpostavljena,Appfsn,O
