DEFINIENDUM,CATEGORY,CATEGORY_TEXT,SENTENCE,*,AFFECTS,COMPOSITION_MEDIUM,CONTAINS,DEFINED_AS,DEFINITOR,GENUS,HAS_ATTRIBUTE,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_POSITION,HAS_RESULT,HAS_SIZE,MEASURES,OCCURS_IN_TIME,SPECIES,STUDIES,frame_ATTRIBUTE,frame_CAUSE,frame_COMPOSITION,frame_CONTAINS,frame_DEFINED_AS,frame_FORM,frame_FUNCTION,frame_LOCATION,frame_MEASURES,frame_MEDIUM,frame_POSITION,frame_RESULT,frame_SIZE,frame_STUDIES,frame_TIME
fazna meja,D.3 Property|C. Geome|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform,fazna meja|speleogenetskem prostoru|matično kamnino|Ploskev|speleofaktov,"fazna meja - Ploskev, ki v speleogenetskem prostoru ločuje matično kamnino od speleofaktov oz. speleofakte med seboj.",,,,,,,Ploskev,,,Ploskev,ločuje matično kamnino od speleofaktov,v speleogenetskem prostoru,,,,,,,,,,,,,,ločuje,v,,,,,,,
fosilizacija,A.3 Hydrological form|A.2 Underground landform|D.1 Abiotic|B. Process|B.4 Transformation|A.2 Underground landform|A.3 Hydrological form|B.3 Addition|B.2 Loss|B.4 Transformation|D.1 Abiotic|D.1 Abiotic,neprežeti coni|fosiliziranem kanalu|kompaktna kamnina|fosilizacija|Preoblikovanje|kanala|prežeti|sedimentacije|rušenja|diagenezo|Polnilo|kamnina,fosilizacija (kanala) - Preoblikovanje kanala v prežeti ali neprežeti coni. Poleg sedimentacije in rušenja vključuje tudi diagenezo. Polnilo v fosiliziranem kanalu se obnaša kot kompaktna kamnina in f. kanal pri možnem ponovnem zakrasevanju ne more služiti kot inicialna struktura. kamnina,,,,Polnilo v fosiliziranem kanalu se obnaša kot kompaktna kamnina,Poleg sedimentacije in rušenja vključuje tudi diagenezo|Preoblikovanje kanala,,Preoblikovanje kanala,,,,,v prežeti ali neprežeti coni,,,,,,sedimentacije|rušenja|diagenezo,,,,,,,,,v,,,,,,,
freatična cona,C. Geome|C. Geome,freatična cona|prežeti coni,freatična cona - Sinonim prežeti coni.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prežeti coni,C. Geome|C. Geome,freatična cona|prežeti coni,freatična cona - Sinonim prežeti coni.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freatični kanal,D.3 Property|A.2 Underground landform|C. Geome|A.2 Underground landform|D.3 Property,lečast prečni presek|freatični kanal|prežeti coni|Kanal|elipsast,"freatični kanal - Kanal, nastal v prežeti coni. Njegov prostorski potek se ne ravna po vodoravni smeri, temveč po smeri inicialnih struktur. Značilna sta elipsast ali lečast prečni presek.",,,,,,,Kanal,,"Njegov prostorski potek se ne ravna po vodoravni smeri , temveč po smeri inicialnih struktur",Značilna sta elipsast ali lečast prečni presek,,nastal v prežeti coni,,,,,,,,,,,,,Značilna sta,,v,,,,,,,
freatično brezno,A.2 Underground landform|C. Geome|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|B. Process|A.2 Underground landform|D. Entity/Element/Property|D.3 Property|A.2 Underground landform,freatično brezno|prežeti coni|inicialne strukture|freatična brezna|lezičnih kanalov|vodni tok|preskoku|kanala|padnici|elipsasta|kaminom,"freatično brezno - Strukturni segment, ki nastane v prežeti coni ob preskoku kanala z enega začetnega horizonta v drugega. Prostorska orientacija freatičnega brezna se ravna približno po padnici inicialne strukture. Manjša freatična brezna so v prečnem (približno vodoravnem) prerezu elipsasta in podobna kaminom. Od njih ločimo reatična brezna najlaže po tem, da se na nasprotnih straneh lezičnih kanalov, katere povezujejo, ne nadaljujejo. Ob nastajanju sledi vodni tok pravilu veznih posod in se lahko giba navzdol ali navzgor.",,,,,,,,,ob preskoku kanala z enega začetnega horizonta v drugega|se ravna približno po padnici inicialne strukture,so v prečnem ( približno vodoravnem ) prerezu elipsasta in podobna kaminom,,ki nastane v prežeti coni,,,,,,,,,ob,,,,podobna,,v,,,,,,,
Gamsov efekt,D.3 Property|D.1 Abiotic|D.3.1 Geolocation|C. Geome|D.3 Property|C. Geome|D.3 Property|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|C. Geome|C. Geome|A.3 Hydrological form|D.1 Abiotic|B. Process|A.2 Underground landform|D.1 Abiotic|A.3 Hydrological form|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.3 Property|D.1 Abiotic|A.3 Hydrological form|A.3 Hydrological form,Gamsov efekt|gladine podtalnice|na Slovenskem|nekraškega površja|nizvodnem stiku|kraško podzemlje|tluvialnih razmer|piezometrični gladini|tunelski rov|jam|nekrasom|kras|vdor|nasipu|izoblikuje|svežnja|voda|kanalih|vodo|plavje|vode|pretok|prod|ponikalnica|podtalnice,"Gamsov efekt - Način preoblikovanja svežnja, ko ponikalnica z nekraškega površja vnaša prod. Ker pretok in transportna moč vode nista popolnoma enakomerna, se plavje odlaga v globljih delih svežnja. To prisili vodo, da ubira pota po kanalih, ki so vse bliže piezometrični gladini. Če proces traja dovolj dolgo, voda končno izoblikuje tunelski rov vzdolž gladine podtalnice in teče po lastnem nasipu. Dejansko to pomeni vdor tluvialnih razmer v kraško podzemlje (transenvironmental effect) in Gamsov efekt je značilen za kras na nizvodnem stiku z nekrasom. l. Gams (1959) je tako razložil lego in nastanek večine največjih jam na Slovenskem. podtalnice vzdolž gladine podtalnice",,,,,,,preoblikovanja svežnja,,"To prisili vodo , da ubira pota po kanalih , ki so vse bliže piezometrični gladini|Ker pretok in transportna moč vode nista popolnoma enakomerna|ko ponikalnica z nekraškega površja vnaša prod",,,je značilen za kras na nizvodnem stiku z nekrasom|in teče po lastnem nasipu vzdolž gladine podtalnice,na Slovenskem,Dejansko to pomeni vdor tluvialnih razmer v kraško podzemlje|voda končno izoblikuje tunelski rov vzdolž gladine podtalnice|se plavje odlaga v globljih delih svežnja,,,,,,,,,,,,,vzdolž|na,,,na,Dejansko to pomeni|končno,,,
Gamsov efekt,D.3 Property|D.1 Abiotic|D.3.1 Geolocation|C. Geome|D.3 Property|C. Geome|D.3 Property|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|C. Geome|C. Geome|A.3 Hydrological form|D.1 Abiotic|B. Process|A.2 Underground landform|D.1 Abiotic|A.3 Hydrological form|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.3 Property|D.1 Abiotic|A.3 Hydrological form|A.3 Hydrological form,Gamsov efekt|gladine podtalnice|na Slovenskem|nekraškega površja|nizvodnem stiku|kraško podzemlje|tluvialnih razmer|piezometrični gladini|tunelski rov|jam|nekrasom|kras|vdor|nasipu|izoblikuje|svežnja|voda|kanalih|vodo|plavje|vode|pretok|prod|ponikalnica|podtalnice,"Gamsov efekt - Način preoblikovanja svežnja, ko ponikalnica z nekraškega površja vnaša prod. Ker pretok in transportna moč vode nista popolnoma enakomerna, se plavje odlaga v globljih delih svežnja. To prisili vodo, da ubira pota po kanalih, ki so vse bliže piezometrični gladini. Če proces traja dovolj dolgo, voda končno izoblikuje tunelski rov vzdolž gladine podtalnice in teče po lastnem nasipu. Dejansko to pomeni vdor tluvialnih razmer v kraško podzemlje (transenvironmental effect) in Gamsov efekt je značilen za kras na nizvodnem stiku z nekrasom. l. Gams (1959) je tako razložil lego in nastanek večine največjih jam na Slovenskem. podtalnice vzdolž gladine podtalnice",,,,,,,preoblikovanja svežnja,,"To prisili vodo , da ubira pota po kanalih , ki so vse bliže piezometrični gladini|Ker pretok in transportna moč vode nista popolnoma enakomerna|ko ponikalnica z nekraškega površja vnaša prod",,,je značilen za kras na nizvodnem stiku z nekrasom|in teče po lastnem nasipu vzdolž gladine podtalnice,na Slovenskem,Dejansko to pomeni vdor tluvialnih razmer v kraško podzemlje|voda končno izoblikuje tunelski rov vzdolž gladine podtalnice|se plavje odlaga v globljih delih svežnja,,,,,,,,,,,,,vzdolž|na,,,na,Dejansko to pomeni|končno,,,
Gospodaričev efekt,D.3 Property|A.2 Underground landform|D.3.1 Geolocation|A.2 Underground landform|C. Geome|B. Process|D.3.1 Geolocation|C. Geome|D.1 Abiotic|A.2 Underground landform|D.3 Property|C. Geome|C. Geome|D.1 Abiotic|B.1 Movement|D.1 Abiotic|A.2 Underground landform,Gospodaričev efekt|tunelski rovi|Planinski jami|tunelskih rovov|čistem krasu|nekraškega mehanizma|Planinske koleševke|kraškem podzemlju|plavja|svežnja|zasuti|krasa|nekrasom|prod|prenaša|voda|kanali,"Gospodaričev efekt - Način preoblikovanja svežnja, ko voda prenaša prod, ki nastaja v samem kraškem podzemlju. Končni učinek je podoben Gamsovemu e., torej nastanejo tunelski rovi. Ker pa gre za manjše količine plavja kot v primeru Gamsovega e., niže ležeči kanali niso vedno zasuti. Gospodaričev e. ni vezan na stik krasa z nekrasom in je izjemen primer nekraškega mehanizma v čistem krasu. R. Gospodarič (1976) je tako razložil nastanek tunelskih rovov v Planinski jami. Podzemska Pivkajihje oblikovala s prodom, ki izvira iz podora Planinske koleševke.",,,,,,,preoblikovanja svežnja,,"ko voda prenaša prod , ki nastaja v samem kraškem podzemlju",,,,v Planinski jami,niže ležeči kanali niso vedno zasuti|torej nastanejo tunelski rovi,,,,,,,,,,,,,,,,,torej nastanejo,,,
gravitacijska voda,D.1 Abiotic|D.1 Abiotic|A.3 Hydrological form|C. Geome|D.1 Abiotic|B.1 Movement|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic,gravitacijska voda|Prenikla voda|neprežeto cono|prežeti coni|Gravitacijska voda|prosto pada|Gravitacijska voda|gladino|kanale|voda,"gravitacijska voda - Prenikla voda, ki se skozi neprežeto cono spušča malone navpično proti prežeti coni. Gravitacijska voda ne le da ima prosto gladino, ampak lahko tudi prosto pada. Gravitacijska voda zapolni kanale le izjemoma. voda",,,,,,,Prenikla voda,ne le da ima prosto gladino|lahko tudi prosto pada,,,zapolni kanale,ki se skozi neprežeto cono spušča malone navpično proti prežeti coni,,,,,,,,ima,,,,,,zapolni,ki se skozi,,,,,,,
