TERM,CATEGORY
volcanic and permafrost areas,C. Geome
carbonate rocks,D.1 Abiotic
landscape,C. Geome
Karst,C. Geome
dissolution,B.2 Loss
continental land masses,C. Geome
sea level,D.1 Abiotic
Karst,C. Geome
processes,B. Process
solution channel ( secondary ) porosity,B.2 Loss
rock solubility,D.3 Property
hydrology,D.1 Abiotic
rock,D.1 Abiotic
landforms,D.1 Abiotic
Karst,C. Geome
terrain,C. Geome
underground water systems,C. Geome
soluble rocks,D.1 Abiotic
limestone,D.1 Abiotic
gypsum,D.1 Abiotic
landscape,C. Geome
caves,A.2 Underground landform
Karst,C. Geome
marble,D.1 Abiotic
Karst conduit networks,C. Geome
karst massif,C. Geome
conduits,D.1 Abiotic
Karst depression,A.1 Surface landform
dolines,A.1 Surface landform
uvalas,A.1 Surface landform
poljes,A.1 Surface landform
soluble bedrock,D.1 Abiotic
Karst topography,C. Geome
landscape,C. Geome
dissolution,B.4 Transformation
bedrock,D.1 Abiotic
karst topography,C. Geome
Kras,D.3.1 Geolocation
underground cavern,A.2 Underground landform
karst windows,A.1 Surface landform
exposing,B.4 Transformation
collapse,B.4 Transformation
river,D.1 Abiotic
valleys,D.1 Abiotic
karstifiable rocks,D.1 Abiotic
karstosphere,C. Geome
closed karst depression,A.1 Surface landform
Pleistocene glaciation,B.4 Transformation
konta,A.1 Surface landform
doline,A.1 Surface landform
remodelled,B.4 Transformation
calcium carbonate ( CaCO3 ),D.1 Abiotic
aragonite,D.1 Abiotic
Limestone,D.1 Abiotic
calcite,D.1 Abiotic
losing streamflow,A.3 Hydrological form
surface stream,D.1 Abiotic
groundwater system,D.1 Abiotic
water,D.1 Abiotic
contributes,B.3 Addition
losing streamflow,A.3 Hydrological form
open stream,D.1 Abiotic
loses water,B.2 Loss
water,D.1 Abiotic
river,D.1 Abiotic
Joints,D.1 Abiotic
beds,D.1 Abiotic
conduits,D.1 Abiotic
soluble rocks,D.1 Abiotic
Intrastratal karstification,B.4 Transformation
gypsum bed,D.1 Abiotic
dissolution,B.2 Loss
bed,D.1 Abiotic
dolomite,D.1 Abiotic
karst features,A. Landform
surface,D.1 Abiotic
Exokarst,C. Geome
residual clays,D.1 Abiotic
permeable sediments,D.1 Abiotic
periglacial deposits,D.1 Abiotic
karst forms,D.1 Abiotic
till,D.1 Abiotic
soil,D.1 Abiotic
Cryptokarst,C. Geome
corrosion-induced subsidence,B.1 Movement
pseudokarst,C. Geome
dissolution,B.2 Loss
collapse,B.1 Movement
thawing of ground ice,B.4 Transformation
ground ice,D.1 Abiotic
Thermokarst,C. Geome
depressions,D.1 Abiotic
pure karst,C. Geome
rocks,D.1 Abiotic
Holokarst,C. Geome
limestones,D.1 Abiotic
Concentrated inflows of water,D.1 Abiotic
swallow holes,A.3 Hydrological form
sink underground,B.4 Transformation
stream-sinks,A.3 Hydrological form
ponors,A.3 Hydrological form
swallets,A.3 Hydrological form
travertine,D.1 Abiotic
layered,D.3 Property
lustrous,D.3 Property
