DEFINIENDUM,CATEGORY,CATEGORY_TEXT,SENTENCE,*,AFFECTS,COMPOSITION_MEDIUM,CONTAINS,DEFINED_AS,DEFINITOR,GENUS,HAS_ATTRIBUTE,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_POSITION,HAS_RESULT,HAS_SIZE,MEASURES,OCCURS_IN_MEDIUM,OCCURS_IN_TIME,SPECIES,STUDIES,frame_ATTRIBUTE,frame_CAUSE,frame_COMPOSITION,frame_CONTAINS,frame_DEFINED_AS,frame_FORM,frame_FUNCTION,frame_LOCATION,frame_MEASURES,frame_MEDIUM,frame_POSITION,frame_RESULT,frame_SIZE,frame_STUDIES,frame_TIME
Karst,C. Geome|D.1 Abiotic|C. Geome|C. Geome|B.2 Loss,volcanic and permafrost areas|carbonate rocks|landscape|Karst|dissolution,"Karst is a landscape created by the dissolution of carbonate rocks, although similar features can also be found in volcanic and permafrost areas.",,,,,,is a,landscape,,created by the dissolution of carbonate rocks,,,,,,,,,,,,,created by,,,,,,,,,,,,,
Karst,C. Geome|D.1 Abiotic|C. Geome|B. Process,continental land masses|sea level|Karst|processes,"Karst is a product of processes that operate on continental land masses, especially when the land masses are uplifted above sea level. on continental land masses",,,,,,is a,product of processes,,product of processes that operate on continental land masses,,,on continental land masses,,,,,,,,,,operate on,,,,,,,,,,,,,
Karst,B.2 Loss|D.3 Property|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|C. Geome|C. Geome,solution channel ( secondary ) porosity|rock solubility|hydrology|rock|landforms|Karst|terrain,Karst is terrain with distinctive hydrology and landforms arising from the combination of high rock solubility and well-developed solution channel (secondary) porosity underground. rock,,,,with distinctive hydrology and landforms,,is,terrain,,arising from the combination of high rock solubility and well-developed solution channel ( secondary ) porosity underground,,,,,,,,,,,,,arising from the,with distinctive,,,,,,,,,,,,
Karst,C. Geome|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|C. Geome|A.2 Underground landform|C. Geome|D.1 Abiotic,underground water systems|soluble rocks|limestone|gypsum|landscape|caves|Karst|marble,"Karst is the term used to describe a special style of landscape containing caves and extensive underground water systems that is developed on especially soluble rocks such as limestone, marble, and gypsum.",,,"developed on especially soluble rocks such as limestone , marble , and gypsum",containing caves and extensive underground water systems,,is the term used to describe a,landscape,,,,,,,,,,,,,,,,developed on,containing,,,,,,,,,,,
Karst conduit networks,C. Geome|C. Geome|D.1 Abiotic,Karst conduit networks|karst massif|conduits,"“ Karst conduit networks ” are defined as the total length of the existing conduits within a karst massif, i.e. the length of conduits wider than about 1 cm in diameter (as defined by Ford & Williams 1989).",,,,,the total length of the existing conduits within a karst massif,are defined as,total length of the existing conduits,,,,,,,,the length of conduits wider than about 1 cm in diameter,,,,,,,,,,,,,,,,,,wider than,,
Karst depression,A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform,Karst depression|dolines|uvalas|poljes,"Karst depression is a common group term for dolines, uvalas and poljes.",,,,,,is a common group term,,,,,,,,,,,,,uvalas|poljes|dolines,,,,,,,,,,,,,,,,
Karst topography,D.1 Abiotic|C. Geome|C. Geome|B.4 Transformation|D.1 Abiotic,soluble bedrock|Karst topography|landscape|dissolution|bedrock,Karst topography is a landscape shaped by the dissolution of soluble bedrock. bedrock,,,,,,is a,landscape,,shaped by the dissolution of soluble bedrock,,,,,,,,,,,,,shaped by the,,,,,,,,,,,,,
karst topography,C. Geome|D.3.1 Geolocation,karst topography|Kras,"In geology, the term karst topography is used to describe areas similar to that found in Kras.",,,,,areas similar to that found in Kras,is used to describe,areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karst windows,A.2 Underground landform|A.1 Surface landform|B.4 Transformation|B.4 Transformation|D.1 Abiotic|D.1 Abiotic,underground cavern|karst windows|exposing|collapse|river|valleys,Short steep-sided valleys caused by collapse of an underground cavern and exposing the river to the surface are called karst windows.,,,,,,are called,Short steep-sided valleys,,caused by collapse of an underground cavern,exposing the river to the surface|Short steep-sided,,,,,,,,,,,,caused by,,,,exposing,,,,,,,,,
karstosphere,D.1 Abiotic|C. Geome,karstifiable rocks|karstosphere,"The term “ karstosphere ” was introduced by Maruashvili (1970), who defined it as a spatially discontinuous layer comprised of the global areas of karstifiable rocks.",,,comprised of the global areas of karstifiable rocks,,,defined it as a,spatially discontinuous layer,,,spatially discontinuous layer,,,,,,,,,,,,,comprised of,,,,,,,,,,,,
