DEFINIENDUM,DEFINITOR,GENUS,SPECIES,SENTENCE
prenikajoča voda,,Padavinska voda,,"prenikajoča voda, pronicajoča voda: Padavinska voda, ki v aeracijski coni počasi premika skozi vodoprepustne skalne gmote. Voda, ki kaplja z jamskega stropa; od tod jamarski izraz kapnica. Združeno v potoček jo imenujemo tudi vodni curek, v nasprotju od globinskih žil."
vodni curek,,Padavinska voda,,"prenikajoča voda, pronicajoča voda: Padavinska voda, ki v aeracijski coni počasi premika skozi vodoprepustne skalne gmote. Voda, ki kaplja z jamskega stropa; od tod jamarski izraz kapnica. Združeno v potoček jo imenujemo tudi vodni curek, v nasprotju od globinskih žil."
viseča voda,,voda,,"viseča voda: Je voda v aeracijski (vadozni) coni, ki jo je od navzdolžnega prenikanja odklonil vododržni vložek. Tudi stoječa voda, ki je ujeta v kotanjah po upadu vodne gladine. prenikanja"
piezometrični nivo,,,,"piezometrični nivo, tudi piezometer: Je vsakokratna predpostavljena ploskev, do katere sega vodna gladina v kraškem podzemlju v sistemu veznih posod."
piezometer,,,,"piezometrični nivo, tudi piezometer: Je vsakokratna predpostavljena ploskev, do katere sega vodna gladina v kraškem podzemlju v sistemu veznih posod."
gladina kraške vode,Pomeni,nivo,,"gladina kraške vode, nivo kraške vode: Pomeni nivo, od katerega se pretežno vodoravno in prosto pretaka kraška voda proti izvirom ali stoji (stoječa voda) v slepih kanalih. Piezometrični nivo oziroma gladina kraške vode oscilirata v odvisnosti od vodostaja."
Območje osciliranja,,cona,,"Območje osciliranja: prehodna cona, periodično vlažna cona."
gravitacijski vodni tok,,vodni tok,,"gravitacijska voda, gravitacijski vodni tok: Voda (vodni tok) v kraškem podzemlju, ki se pretaka gravitacijsko (težnostno) v kanalih ter v njih ne sega do stropa in ima prosto gladino (v nasprotju s tlačno gladino, ki je značilna za tlačni ali eforacijski tok)."
gravitacijska voda,,vodni tok,,"gravitacijska voda, gravitacijski vodni tok: Voda (vodni tok) v kraškem podzemlju, ki se pretaka gravitacijsko (težnostno) v kanalih ter v njih ne sega do stropa in ima prosto gladino (v nasprotju s tlačno gladino, ki je značilna za tlačni ali eforacijski tok)."
freatična cona,,hidrografska cona,,"freatična cona: Najnižja hidrografska cona, v kateri voda trajno zapolnjuje votline, prevladuje pa tlačno pretakanje."
freatični vodni tok,,Kraška voda,,"freatična voda, freatični vodni tok: Kraška voda (vodni tok) v freatični coni. Zapolnjuje votline pod piezometričnim nivojem (nivojem kraške vode)."
