TERM,CATEGORY
skalne gmote,D.1 Abiotic
pronicajoča voda,A.3 Hydrological form
prenikajoča voda,A.3 Hydrological form
jamskega stropa,A.2 Underground landform
aeracijski coni,C. Geome
vodni curek,A.3 Hydrological form
globinskih žil,A.3 Hydrological form
voda,D.1 Abiotic
kapnica,A.3 Hydrological form
aeracijski ( vadozni ) coni,C. Geome
vododržni vložek,D.1 Abiotic
viseča voda,A.3 Hydrological form
navzdolžnega prenikanja,B.1 Movement
prenikanja,B.1 Movement
kotanjah,A.2 Underground landform
voda,D.1 Abiotic
upadu,B.2 Loss
piezometrični nivo,D.3 Property
vodna gladina,D.1 Abiotic
kraškem podzemlju,C. Geome
veznih posod,A.2 Underground landform
ploskev,D.1 Abiotic
piezometer,D.3 Property
gladina kraške vode,D.3 Property
slepih kanalih,A.3 Hydrological form
Piezometrični nivo,D.3 Property
kraška voda,D.1 Abiotic
stoji,B. Process
pretaka,B.1 Movement
izvirom,D.1 Abiotic
nivo,D.3 Property
oscilirata,B.1 Movement
vodostaja,D.3 Property
Območje osciliranja,C. Geome
vlažna cona,A.3 Hydrological form
gravitacijski vodni tok,A.3 Hydrological form
gravitacijska voda,A.3 Hydrological form
kraškem podzemlju,C. Geome
vodni tok,D.1 Abiotic
gravitacijsko,D.3 Property
pretaka,B.1 Movement
kanalih,A.2 Underground landform
hidrografska cona,C. Geome
freatična cona,C. Geome
tlačno pretakanje,B.1 Movement
zapolnjuje,B.3 Addition
votline,A.2 Underground landform
voda,D.1 Abiotic
freatična voda,A.3 Hydrological form
freatični coni,C. Geome
Kraška voda,D.1 Abiotic
piezometričnim nivojem,D.3 Property
Zapolnjuje,B.3 Addition
votline,A.2 Underground landform
freatični coni,C. Geome
ujeta voda,A.3 Hydrological form
Voda,D.1 Abiotic
kanalih,A.2 Underground landform
globoki freatični coni,A.3 Hydrological form
zajezena kraška voda,A.3 Hydrological form
piezometričnim nivojem,D.3 Property
kraška voda,D.1 Abiotic
vodoneprepustne kamnine,D.1 Abiotic
votline,A.2 Underground landform
zapolnjuje,B.3 Addition
podzemeljski vodni tok,A.3 Hydrological form
hidrogeološki izolator,D.1 Abiotic
Neprepustna kamnina,D.1 Abiotic
kraškem ozemlju,C. Geome
vložka,D.1 Abiotic
razdvaja,B. Process
zajezuje,B. Process
žepaste oblike,D.3 Property
hladna jama,A.2 Underground landform
zimski hlad,D.3 Property
hladna,D.3 Property
Hladnica,A.2 Underground landform
Jama,A.2 Underground landform
jamski rov,A.2 Underground landform
hodnik,A.2 Underground landform
hoja,B. Process
grič na ravnini,D.1 Abiotic
kraškega polja,A.1 Surface landform
višjega reliefa,D.1 Abiotic
osamljeno vzpetinico,D.1 Abiotic
korozijsko-erozijsko-denudacijski ostanek,D.3 Property
hum,A.1 Surface landform
goričica,A.1 Surface landform
osamelce,D.1 Abiotic
kapljajoča voda,D.1 Abiotic
jamskem dnu,A.2 Underground landform
ilovnate piramide,A.2 Underground landform
ilovnatem,D.3 Property
piramide,D.1 Abiotic
speleogenetskem prostoru,C. Geome
fazna meja,D.3 Property
matično kamnino,D.1 Abiotic
speleofaktov,A.2 Underground landform
Ploskev,D.1 Abiotic
fosiliziranem kanalu,A.2 Underground landform
neprežeti coni,A.3 Hydrological form
kompaktna kamnina,D.1 Abiotic
