DEFINIENDUM,CATEGORY,CATEGORY_TEXT,SENTENCE,*,AFFECTS,COMPOSITION_MEDIUM,CONTAINS,DEFINED_AS,DEFINITOR,GENUS,HAS_ATTRIBUTE,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_POSITION,HAS_RESULT,HAS_SIZE,MEASURES,OCCURS_IN_TIME,SPECIES,STUDIES,frame_ATTRIBUTE,frame_CAUSE,frame_COMPOSITION,frame_CONTAINS,frame_DEFINED_AS,frame_FORM,frame_FUNCTION,frame_LOCATION,frame_MEASURES,frame_MEDIUM,frame_POSITION,frame_RESULT,frame_SIZE,frame_STUDIES,frame_TIME
prenikajoča voda,D.1 Abiotic|A.3 Hydrological form|A.3 Hydrological form|A.2 Underground landform|C. Geome|A.3 Hydrological form|A.3 Hydrological form|D.1 Abiotic|A.3 Hydrological form,skalne gmote|pronicajoča voda|prenikajoča voda|jamskega stropa|aeracijski coni|vodni curek|globinskih žil|voda|kapnica,"prenikajoča voda, pronicajoča voda: Padavinska voda, ki v aeracijski coni počasi premika skozi vodoprepustne skalne gmote. Voda, ki kaplja z jamskega stropa; od tod jamarski izraz kapnica. Združeno v potoček jo imenujemo tudi vodni curek, v nasprotju od globinskih žil.",,,,,,,Padavinska voda,počasi premika skozi vodoprepustne skalne gmote|kaplja z jamskega stropa,,,,v aeracijski coni,,,,,,,,,,,,,,,v,,,,,,,
vodni curek,D.1 Abiotic|A.3 Hydrological form|A.3 Hydrological form|A.2 Underground landform|C. Geome|A.3 Hydrological form|A.3 Hydrological form|D.1 Abiotic|A.3 Hydrological form,skalne gmote|pronicajoča voda|prenikajoča voda|jamskega stropa|aeracijski coni|vodni curek|globinskih žil|voda|kapnica,"prenikajoča voda, pronicajoča voda: Padavinska voda, ki v aeracijski coni počasi premika skozi vodoprepustne skalne gmote. Voda, ki kaplja z jamskega stropa; od tod jamarski izraz kapnica. Združeno v potoček jo imenujemo tudi vodni curek, v nasprotju od globinskih žil.",,,,,,,Padavinska voda,počasi premika skozi vodoprepustne skalne gmote|kaplja z jamskega stropa,,,,v aeracijski coni,,,,,,,,,,,,,,,v,,,,,,,
viseča voda,C. Geome|D.1 Abiotic|A.3 Hydrological form|B.1 Movement|B.1 Movement|A.2 Underground landform|D.1 Abiotic|B.2 Loss,aeracijski ( vadozni ) coni|vododržni vložek|viseča voda|navzdolžnega prenikanja|prenikanja|kotanjah|voda|upadu,"viseča voda: Je voda v aeracijski (vadozni) coni, ki jo je od navzdolžnega prenikanja odklonil vododržni vložek. Tudi stoječa voda, ki je ujeta v kotanjah po upadu vodne gladine. prenikanja",,,,,,,voda,,jo je od navzdolžnega prenikanja odklonil vododržni vložek,,,je ujeta v kotanjah,,,,,po upadu vodne gladine,,,,,,,,,,,,,,,,,po
piezometrični nivo,D.3 Property|D.1 Abiotic|C. Geome|A.2 Underground landform|D.1 Abiotic|D.3 Property,piezometrični nivo|vodna gladina|kraškem podzemlju|veznih posod|ploskev|piezometer,"piezometrični nivo, tudi piezometer: Je vsakokratna predpostavljena ploskev, do katere sega vodna gladina v kraškem podzemlju v sistemu veznih posod.",,,,,Je vsakokratna predpostavljena ploskev,,,,,,,v kraškem podzemlju v sistemu veznih posod,,,,,,,,,,,,,,,v|v,,,,,,,
piezometer,D.3 Property|D.1 Abiotic|C. Geome|A.2 Underground landform|D.1 Abiotic|D.3 Property,piezometrični nivo|vodna gladina|kraškem podzemlju|veznih posod|ploskev|piezometer,"piezometrični nivo, tudi piezometer: Je vsakokratna predpostavljena ploskev, do katere sega vodna gladina v kraškem podzemlju v sistemu veznih posod.",,,,,Je vsakokratna predpostavljena ploskev,,,,,,,v kraškem podzemlju v sistemu veznih posod,,,,,,,,,,,,,,,v|v,,,,,,,
gladina kraške vode,D.3 Property|A.3 Hydrological form|D.3 Property|D.1 Abiotic|B. Process|B.1 Movement|D.1 Abiotic|D.3 Property|B.1 Movement|D.3 Property,gladina kraške vode|slepih kanalih|Piezometrični nivo|kraška voda|stoji|pretaka|izvirom|nivo|oscilirata|vodostaja,"gladina kraške vode, nivo kraške vode: Pomeni nivo, od katerega se pretežno vodoravno in prosto pretaka kraška voda proti izvirom ali stoji (stoječa voda) v slepih kanalih. Piezometrični nivo oziroma gladina kraške vode oscilirata v odvisnosti od vodostaja.",,,,,"nivo , od katerega se pretežno vodoravno in prosto pretaka kraška voda proti izvirom ali stoji ( stoječa voda ) v slepih kanalih",Pomeni,nivo,,oscilirata v odvisnosti od vodostaja,,,,,,,,,,,,v odvisnosti od,,,,,,,,,,,,,
Območje osciliranja,C. Geome|A.3 Hydrological form,Območje osciliranja|vlažna cona,"Območje osciliranja: prehodna cona, periodično vlažna cona.",,,,,,,cona,vlažna,,,,,,,,,periodično,,,,,,,,,,,,,,,,,
gravitacijski vodni tok,A.3 Hydrological form|A.3 Hydrological form|C. Geome|D.1 Abiotic|D.3 Property|B.1 Movement|A.2 Underground landform,gravitacijski vodni tok|gravitacijska voda|kraškem podzemlju|vodni tok|gravitacijsko|pretaka|kanalih,"gravitacijska voda, gravitacijski vodni tok: Voda (vodni tok) v kraškem podzemlju, ki se pretaka gravitacijsko (težnostno) v kanalih ter v njih ne sega do stropa in ima prosto gladino (v nasprotju s tlačno gladino, ki je značilna za tlačni ali eforacijski tok).",,,,,,,vodni tok,,se pretaka gravitacijsko,,ne sega do stropa in ima prosto gladino,v kraškem podzemlju|v kanalih,,,,,,,,,,,,,,,,,,,,,,
gravitacijska voda,A.3 Hydrological form|A.3 Hydrological form|C. Geome|D.1 Abiotic|D.3 Property|B.1 Movement|A.2 Underground landform,gravitacijski vodni tok|gravitacijska voda|kraškem podzemlju|vodni tok|gravitacijsko|pretaka|kanalih,"gravitacijska voda, gravitacijski vodni tok: Voda (vodni tok) v kraškem podzemlju, ki se pretaka gravitacijsko (težnostno) v kanalih ter v njih ne sega do stropa in ima prosto gladino (v nasprotju s tlačno gladino, ki je značilna za tlačni ali eforacijski tok).",,,,,,,vodni tok,,se pretaka gravitacijsko,,ne sega do stropa in ima prosto gladino,v kraškem podzemlju|v kanalih,,,,,,,,,,,,,,,,,,,,,,
freatična cona,C. Geome|C. Geome|B.1 Movement|B.3 Addition|A.2 Underground landform|D.1 Abiotic,hidrografska cona|freatična cona|tlačno pretakanje|zapolnjuje|votline|voda,"freatična cona: Najnižja hidrografska cona, v kateri voda trajno zapolnjuje votline, prevladuje pa tlačno pretakanje.",,,,v kateri voda trajno zapolnjuje votline,,,hidrografska cona,,prevladuje pa tlačno pretakanje,,,,,,,,,,,,,,v kateri,,,,,,,,,,,
