TERM,CATEGORY
fazna meja,D.3 Property
speleogenetskem prostoru,C. Geome
matično kamnino,D.1 Abiotic
Ploskev,D.1 Abiotic
speleofaktov,A.2 Underground landform
neprežeti coni,A.3 Hydrological form
fosiliziranem kanalu,A.2 Underground landform
kompaktna kamnina,D.1 Abiotic
fosilizacija,B. Process
Preoblikovanje,B.4 Transformation
kanala,A.2 Underground landform
prežeti,A.3 Hydrological form
sedimentacije,B.3 Addition
rušenja,B.2 Loss
diagenezo,B.4 Transformation
Polnilo,D.1 Abiotic
kamnina,D.1 Abiotic
freatična cona,C. Geome
prežeti coni,C. Geome
lečast prečni presek,D.3 Property
freatični kanal,A.2 Underground landform
prežeti coni,C. Geome
Kanal,A.2 Underground landform
elipsast,D.3 Property
freatično brezno,A.2 Underground landform
prežeti coni,C. Geome
inicialne strukture,D.1 Abiotic
freatična brezna,A.2 Underground landform
lezičnih kanalov,A.2 Underground landform
vodni tok,D.1 Abiotic
preskoku,B. Process
kanala,A.2 Underground landform
padnici,D. Entity/Element/Property
elipsasta,D.3 Property
kaminom,A.2 Underground landform
Gamsov efekt,D.3 Property
gladine podtalnice,D.1 Abiotic
na Slovenskem,D.3.1 Geolocation
nekraškega površja,C. Geome
nizvodnem stiku,D.3 Property
kraško podzemlje,C. Geome
tluvialnih razmer,D.3 Property
piezometrični gladini,D.1 Abiotic
tunelski rov,A.2 Underground landform
jam,A.2 Underground landform
nekrasom,C. Geome
kras,C. Geome
vdor,A.3 Hydrological form
nasipu,D.1 Abiotic
izoblikuje,B. Process
svežnja,A.2 Underground landform
voda,D.1 Abiotic
kanalih,A.3 Hydrological form
vodo,D.1 Abiotic
plavje,D.1 Abiotic
vode,D.1 Abiotic
pretok,D.3 Property
prod,D.1 Abiotic
ponikalnica,A.3 Hydrological form
podtalnice,A.3 Hydrological form
Gospodaričev efekt,D.3 Property
tunelski rovi,A.2 Underground landform
Planinski jami,D.3.1 Geolocation
tunelskih rovov,A.2 Underground landform
čistem krasu,C. Geome
nekraškega mehanizma,B. Process
Planinske koleševke,D.3.1 Geolocation
kraškem podzemlju,C. Geome
plavja,D.1 Abiotic
svežnja,A.2 Underground landform
zasuti,D.3 Property
krasa,C. Geome
nekrasom,C. Geome
prod,D.1 Abiotic
prenaša,B.1 Movement
voda,D.1 Abiotic
